database_ticker,short_name_unique,database_long_name,database_source,exchange,symbol,database_number,roll_method,number_of_contracts,include
SCF/CME_CL1_FR,WTI,NYMEX WTI Crude Oil,SCF,CME,CL,1,FR,9,TRUE
SCF/CME_LN1_FR,Hogs,CME Lean Hogs,SCF,CME,LN,1,FR,2,TRUE
SCF/CME_W1_FR,Wheat,CBOT Wheat,SCF,CME,W,1,FR,4,TRUE
SCF/CME_NK1_FR,Nikkei,CME Nikkei 225,SCF,CME,NK,1,FR,2,TRUE
SCF/CME_S1_FR,Soybeans,CBOT Soybeans,SCF,CME,S,1,FR,6,TRUE
SCF/CME_ES1_FR,S&P 500 Mini,CME S&P 500 Index E-Mini,SCF,CME,ES,1,FR,1,TRUE
SCF/CME_MD1_FR,S&P 400 ,CME S&P 400 Midcap Index,SCF,CME,MD,1,FR,2,
SCF/CME_AD1_FR,AUD,CME Australian Dollar AUD,SCF,CME,AD,1,FR,1,TRUE
SCF/CME_BO1_FR,Soybean Oil,CBOT Soybean Oil,SCF,CME,BO,1,FR,2,TRUE
SCF/ICE_B1_FR,Brent,ICE Brent Crude Oil,SCF,ICE,B,1,FR,12,
SCF/CME_SI1_FR,Silver,NYMEX Silver,SCF,CME,SI,1,FR,1,TRUE
SCF/CME_GC1_FR,Gold,NYMEX Gold,SCF,CME,GC,1,FR,2,TRUE
SCF/CME_PA1_FR,Palladium,NYMEX Palladium,SCF,CME,PA,1,FR,1,TRUE
SCF/CME_HO1_FR,NYMEX Heating Oil,NYMEX Heating Oil,SCF,CME,HO,1,FR,2,TRUE
SCF/CME_SF1_FR,CHF,CME Swiss Franc CHF,SCF,CME,SF,1,FR,1,
SCF/CME_PL1_FR,Platinum,NYMEX Platinum,SCF,CME,PL,1,FR,1,TRUE
SCF/CME_C1_FR,Corn,CBOT Corn,SCF,CME,C,1,FR,4,TRUE
SCF/CME_SM1_FR,Soybean Meal,CBOT Soybean Meal,SCF,CME,SM,1,FR,2,TRUE
SCF/CME_FV1_FR,5yr US Treasury,CBOT 5-year US Treasury Note,SCF,CME,FV,1,FR,1,TRUE
SCF/CME_NG1_FR,Natural Gas,NYMEX Natural Gas,SCF,CME,NG,1,FR,9,TRUE
SCF/ICE_ATW1_FR,Coal,ICE Rotterdam Coal,SCF,ICE,ATW,1,FR,2,
SCF/ICE_RF1_FR,Russell 1000,ICE Russell 1000 Index Mini,SCF,ICE,RF,1,FR,2,
SCF/CME_DJ1_FR,DJIA,CBOT Dow Jones Ind Avg (DJIA),SCF,CME,DJ,1,FR,2,
