,PX_LAST,date,Ticker
0,516.18,1992-12-31,SPXT INDEX
1,520.49,1993-01-29,SPXT INDEX
2,527.59,1993-02-26,SPXT INDEX
3,538.72,1993-03-31,SPXT INDEX
4,525.7,1993-04-30,SPXT INDEX
5,539.76,1993-05-31,SPXT INDEX
6,541.34,1993-06-30,SPXT INDEX
7,539.16,1993-07-30,SPXT INDEX
8,559.62,1993-08-31,SPXT INDEX
9,555.33,1993-09-30,SPXT INDEX
10,566.82,1993-10-29,SPXT INDEX
11,561.41,1993-11-30,SPXT INDEX
12,568.2,1993-12-31,SPXT INDEX
13,587.52,1994-01-31,SPXT INDEX
14,571.57,1994-02-28,SPXT INDEX
15,546.65,1994-03-31,SPXT INDEX
16,553.66,1994-04-29,SPXT INDEX
17,562.75,1994-05-31,SPXT INDEX
18,548.96,1994-06-30,SPXT INDEX
19,566.98,1994-07-29,SPXT INDEX
20,590.23,1994-08-31,SPXT INDEX
21,575.79,1994-09-30,SPXT INDEX
22,588.73,1994-10-31,SPXT INDEX
23,567.29,1994-11-30,SPXT INDEX
24,575.7,1994-12-30,SPXT INDEX
25,590.64,1995-01-31,SPXT INDEX
26,613.65,1995-02-28,SPXT INDEX
27,631.76,1995-03-31,SPXT INDEX
28,650.36,1995-04-28,SPXT INDEX
29,676.36,1995-05-31,SPXT INDEX
30,692.07,1995-06-30,SPXT INDEX
31,715.02,1995-07-31,SPXT INDEX
32,716.82,1995-08-31,SPXT INDEX
33,747.07,1995-09-29,SPXT INDEX
34,744.4,1995-10-31,SPXT INDEX
35,777.07,1995-11-30,SPXT INDEX
36,792.04,1995-12-29,SPXT INDEX
37,819.0,1996-01-31,SPXT INDEX
38,826.59,1996-02-29,SPXT INDEX
39,834.55,1996-03-29,SPXT INDEX
40,846.85,1996-04-30,SPXT INDEX
41,868.69,1996-05-31,SPXT INDEX
42,872.01,1996-06-28,SPXT INDEX
43,833.48,1996-07-31,SPXT INDEX
44,851.06,1996-08-30,SPXT INDEX
45,898.97,1996-09-30,SPXT INDEX
46,923.76,1996-10-31,SPXT INDEX
47,993.58,1996-11-29,SPXT INDEX
48,973.9,1996-12-31,SPXT INDEX
49,1034.74,1997-01-31,SPXT INDEX
50,1042.85,1997-02-28,SPXT INDEX
51,1000.0,1997-03-31,SPXT INDEX
52,1059.7,1997-04-30,SPXT INDEX
53,1124.22,1997-05-30,SPXT INDEX
54,1174.59,1997-06-30,SPXT INDEX
55,1268.05,1997-07-31,SPXT INDEX
56,1197.01,1997-08-29,SPXT INDEX
57,1262.56,1997-09-30,SPXT INDEX
58,1220.4,1997-10-31,SPXT INDEX
59,1276.89,1997-11-28,SPXT INDEX
60,1298.82,1997-12-31,SPXT INDEX
61,1313.19,1998-01-30,SPXT INDEX
62,1407.9,1998-02-27,SPXT INDEX
63,1480.0,1998-03-31,SPXT INDEX
64,1494.89,1998-04-30,SPXT INDEX
65,1469.19,1998-05-29,SPXT INDEX
66,1528.87,1998-06-30,SPXT INDEX
67,1512.59,1998-07-31,SPXT INDEX
68,1293.9,1998-08-31,SPXT INDEX
69,1376.79,1998-09-30,SPXT INDEX
70,1488.78,1998-10-30,SPXT INDEX
71,1579.02,1998-11-30,SPXT INDEX
72,1670.01,1998-12-31,SPXT INDEX
73,1739.84,1999-01-29,SPXT INDEX
74,1685.77,1999-02-26,SPXT INDEX
75,1753.21,1999-03-31,SPXT INDEX
76,1821.11,1999-04-30,SPXT INDEX
77,1778.1,1999-05-31,SPXT INDEX
78,1876.78,1999-06-30,SPXT INDEX
79,1818.18,1999-07-30,SPXT INDEX
80,1809.19,1999-08-31,SPXT INDEX
81,1759.59,1999-09-30,SPXT INDEX
82,1870.94,1999-10-29,SPXT INDEX
83,1908.97,1999-11-30,SPXT INDEX
84,2021.4,1999-12-31,SPXT INDEX
85,1919.84,2000-01-31,SPXT INDEX
86,1883.5,2000-02-29,SPXT INDEX
87,2067.76,2000-03-31,SPXT INDEX
88,2005.55,2000-04-28,SPXT INDEX
89,1964.4,2000-05-31,SPXT INDEX
90,2012.83,2000-06-30,SPXT INDEX
91,1981.36,2000-07-31,SPXT INDEX
92,2104.43,2000-08-31,SPXT INDEX
93,1993.33,2000-09-29,SPXT INDEX
94,1984.9,2000-10-31,SPXT INDEX
95,1828.42,2000-11-30,SPXT INDEX
96,1837.36,2000-12-29,SPXT INDEX
97,1902.55,2001-01-31,SPXT INDEX
98,1729.07,2001-02-28,SPXT INDEX
99,1619.54,2001-03-30,SPXT INDEX
100,1745.39,2001-04-30,SPXT INDEX
101,1757.09,2001-05-31,SPXT INDEX
102,1714.32,2001-06-29,SPXT INDEX
103,1697.44,2001-07-31,SPXT INDEX
104,1591.18,2001-08-31,SPXT INDEX
105,1462.69,2001-09-28,SPXT INDEX
106,1490.58,2001-10-31,SPXT INDEX
107,1604.92,2001-11-30,SPXT INDEX
108,1618.98,2001-12-31,SPXT INDEX
109,1595.35,2002-01-31,SPXT INDEX
110,1564.59,2002-02-28,SPXT INDEX
111,1623.43,2002-03-29,SPXT INDEX
112,1525.0,2002-04-30,SPXT INDEX
113,1513.77,2002-05-31,SPXT INDEX
114,1405.94,2002-06-28,SPXT INDEX
115,1296.34,2002-07-31,SPXT INDEX
