,Retail Sales Exp MoM,Retail Sales MoM,Retail Sales Release,Payrolls,Citi Suprise,Payrolls,Payrolls Exp,Payrolls Release,ISM Manufacturing,ISM Manufacturing Exp,ISM Manufacturing Release,S&P 500 TR,S&P 500 Price
1992-12-01,,,,,,,,,,,,509.42,430.78
1992-12-02,,,,,,,,,,,,508.43,429.89
1992-12-03,,,,,,,,,,,,508.49,429.91
1992-12-04,,,,,,,,,,,,511.07,432.06
1992-12-07,,,,,,,,,,,,514.98,435.31
1992-12-08,,,,,,,,,,,,516.99,436.99
1992-12-09,,,,,,,,,,,,515.58,435.65
1992-12-10,,,,,,,,,,,,514.39,434.64
1992-12-11,,,,,,,,,,,,513.33,433.73
1992-12-14,,,,,,,,,,,,512.3,432.84
1992-12-15,,,,,,,,,,,,512.03,432.57
1992-12-16,,,,,,,,,,,,510.79,431.52
1992-12-17,,,,,,,,,,,,515.45,435.43
1992-12-18,,,,,,,,,,,,522.38,441.28
1992-12-21,,,,,,,,,,,,521.7,440.7
1992-12-22,,,,,,,,,,,,521.24,440.31
1992-12-23,,,,,,,,,,,,519.74,439.03
1992-12-24,,,,,,,,,,,,520.89,439.77
1992-12-25,,,,,,,,,,,,520.89,439.77
1992-12-28,,,,,,,,,,,,520.19,439.15
1992-12-29,,,,,,,,,,,,518.83,437.98
1992-12-30,,,,,,,,,,,,519.84,438.82
1992-12-31,,1.2,,212.0,,212.0,,,54.2,,,516.18,435.71
1993-01-01,,1.2,,212.0,,212.0,,,54.2,,,516.18,435.71
1993-01-04,,1.2,,212.0,,212.0,,,54.2,,,516.0,435.38
1993-01-05,,1.2,,212.0,,212.0,,,54.2,,,514.86,434.34
1993-01-06,,1.2,,212.0,,212.0,,,54.2,,,515.08,434.52
1993-01-07,,1.2,,212.0,,212.0,,,54.2,,,510.58,430.73
1993-01-08,,1.2,,212.0,,212.0,,,54.2,,,508.6,429.05
1993-01-11,,1.2,,212.0,,212.0,,,54.2,,,510.9,430.95
1993-01-12,,1.2,,212.0,,212.0,,,54.2,,,511.01,431.04
1993-01-13,,1.2,,212.0,,212.0,,,54.2,,,513.41,433.03
1993-01-14,,1.2,,212.0,,212.0,,,54.2,,,516.86,435.94
1993-01-15,,1.2,,212.0,,212.0,,,54.2,,,518.35,437.15
1993-01-18,,1.2,,212.0,,212.0,,,54.2,,,517.98,436.84
1993-01-19,,1.2,,212.0,,212.0,,,54.2,,,515.97,435.13
1993-01-20,,1.2,,212.0,,212.0,,,54.2,,,513.88,433.37
1993-01-21,,1.2,,212.0,,212.0,,,54.2,,,516.4,435.49
1993-01-22,,1.2,,212.0,,212.0,,,54.2,,,517.13,436.11
1993-01-25,,1.2,,212.0,,212.0,,,54.2,,,521.87,440.01
1993-01-26,,1.2,,212.0,,212.0,,,54.2,,,521.86,439.95
1993-01-27,,1.2,,212.0,,212.0,,,54.2,,,519.68,438.11
1993-01-28,,1.2,,212.0,,212.0,,,54.2,,,520.33,438.66
1993-01-29,,1.2,,212.0,,212.0,,,54.2,,,520.49,438.78
1993-02-01,,1.2,,309.0,,309.0,,,55.8,,,525.03,442.52
1993-02-02,,1.2,,309.0,,309.0,,,55.8,,,525.22,442.56
1993-02-03,,1.2,,309.0,,309.0,,,55.8,,,530.75,447.2
1993-02-04,,1.2,,309.0,,309.0,,,55.8,,,533.89,449.56
1993-02-05,,1.2,,309.0,,309.0,,,55.8,,,533.19,448.93
1993-02-08,,1.2,,309.0,,309.0,,,55.8,,,532.13,447.85
1993-02-09,,1.2,,309.0,,309.0,,,55.8,,,529.26,445.33
1993-02-10,,1.2,,309.0,,309.0,,,55.8,,,530.36,446.23
1993-02-11,,1.2,,309.0,,309.0,,,55.8,,,532.07,447.66
1993-02-12,,1.2,,309.0,,309.0,,,55.8,,,528.52,444.58
1993-02-15,,1.2,,309.0,,309.0,,,55.8,,,528.52,444.58
1993-02-16,,1.2,,309.0,,309.0,,,55.8,,,515.92,433.91
1993-02-17,,1.2,,309.0,,309.0,,,55.8,,,515.22,433.3
1993-02-18,,1.2,,309.0,,309.0,,,55.8,,,513.59,431.9
1993-02-19,,1.2,,309.0,,309.0,,,55.8,,,516.37,434.22
1993-02-22,,1.2,,309.0,,309.0,,,55.8,,,517.7,435.24
1993-02-23,,1.2,,309.0,,309.0,,,55.8,,,517.3,434.8
1993-02-24,,1.2,,309.0,,309.0,,,55.8,,,524.56,440.87
1993-02-25,,1.2,,309.0,,309.0,,,55.8,,,526.32,442.34
1993-02-26,,1.2,,309.0,,309.0,,,55.8,,,527.59,443.38
1993-03-01,,-0.7,,242.0,,242.0,,,55.2,,,526.07,442.01
1993-03-02,,-0.7,,242.0,,242.0,,,55.2,,,533.21,447.9
1993-03-03,,-0.7,,242.0,,242.0,,,55.2,,,534.95,449.26
1993-03-04,,-0.7,,242.0,,242.0,,,55.2,,,532.72,447.34
1993-03-05,,-0.7,,242.0,,242.0,,,55.2,,,531.37,446.11
1993-03-08,,-0.7,,242.0,,242.0,,,55.2,,,541.67,454.71
1993-03-09,,-0.7,,242.0,,242.0,,,55.2,,,541.43,454.4
1993-03-10,,-0.7,,242.0,,242.0,,,55.2,,,543.73,456.33
1993-03-11,,-0.7,,242.0,,242.0,,,55.2,,,540.64,453.72
1993-03-12,,-0.7,,242.0,,242.0,,,55.2,,,536.02,449.83
1993-03-15,,-0.7,,242.0,,242.0,,,55.2,,,537.95,451.43
1993-03-16,,-0.7,,242.0,,242.0,,,55.2,,,537.92,451.37
1993-03-17,,-0.7,,242.0,,242.0,,,55.2,,,534.3,448.31
1993-03-18,,-0.7,,242.0,,242.0,,,55.2,,,538.57,451.89
1993-03-19,,-0.7,,242.0,,242.0,,,55.2,,,536.53,450.18
1993-03-22,,-0.7,,242.0,,242.0,,,55.2,,,534.99,448.88
1993-03-23,,-0.7,,242.0,,242.0,,,55.2,,,534.85,448.76
1993-03-24,,-0.7,,242.0,,242.0,,,55.2,,,534.03,448.07
1993-03-25,,-0.7,,242.0,,242.0,,,55.2,,,537.62,450.88
1993-03-26,,-0.7,,242.0,,242.0,,,55.2,,,533.93,447.78
1993-03-29,,-0.7,,242.0,,242.0,,,55.2,,,537.59,450.77
1993-03-30,,-0.7,,242.0,,242.0,,,55.2,,,539.06,451.97
1993-03-31,,-0.8,,-49.0,,-49.0,,,53.5,,,538.72,451.67
1993-04-01,,-0.8,,-49.0,,-49.0,,,53.5,,,537.09,450.3
1993-04-02,,-0.8,,-49.0,,-49.0,,,53.5,,,526.71,441.39
1993-04-05,,-0.8,,-49.0,,-49.0,,,53.5,,,527.85,442.29
1993-04-06,,-0.8,,-49.0,,-49.0,,,53.5,,,526.5,441.16
1993-04-07,,-0.8,,-49.0,,-49.0,,,53.5,,,528.37,442.73
1993-04-08,,-0.8,,-49.0,,-49.0,,,53.5,,,527.35,441.84
1993-04-09,,-0.8,,-49.0,,-49.0,,,53.5,,,527.35,441.84
1993-04-12,,-0.8,,-49.0,,-49.0,,,53.5,,,535.15,448.37
1993-04-13,,-0.8,,-49.0,,-49.0,,,53.5,,,536.17,449.22
1993-04-14,,-0.8,,-49.0,,-49.0,,,53.5,,,535.5,448.66
1993-04-15,,-0.8,,-49.0,,-49.0,,,53.5,,,535.23,448.4
1993-04-16,,-0.8,,-49.0,,-49.0,,,53.5,,,535.88,448.94
1993-04-19,,-0.8,,-49.0,,-49.0,,,53.5,,,534.16,447.46
1993-04-20,,-0.8,,-49.0,,-49.0,,,53.5,,,531.36,445.1
1993-04-21,,-0.8,,-49.0,,-49.0,,,53.5,,,529.6,443.63
1993-04-22,,-0.8,,-49.0,,-49.0,,,53.5,,,524.86,439.46
1993-04-23,,-0.8,,-49.0,,-49.0,,,53.5,,,521.72,437.03
1993-04-26,,-0.8,,-49.0,,-49.0,,,53.5,,,517.68,433.54
1993-04-27,,-0.8,,-49.0,,-49.0,,,53.5,,,523.09,438.01
1993-04-28,,-0.8,,-49.0,,-49.0,,,53.5,,,523.1,438.02
1993-04-29,,-0.8,,-49.0,,-49.0,,,53.5,,,524.14,438.89
1993-04-30,,2.6,,308.0,,308.0,,,50.2,,,525.7,440.19
1993-05-03,,2.6,,308.0,,308.0,,,50.2,,,528.55,442.46
1993-05-04,,2.6,,308.0,,308.0,,,50.2,,,530.59,444.05
1993-05-05,,2.6,,308.0,,308.0,,,50.2,,,531.25,444.52
1993-05-06,,2.6,,308.0,,308.0,,,50.2,,,529.88,443.26
1993-05-07,,2.6,,308.0,,308.0,,,50.2,,,528.98,442.31
1993-05-10,,2.6,,308.0,,308.0,,,50.2,,,529.86,442.8
1993-05-11,,2.6,,308.0,,308.0,,,50.2,,,531.76,444.36
1993-05-12,,2.6,,308.0,,308.0,,,50.2,,,532.31,444.8
1993-05-13,,2.6,,308.0,,308.0,,,50.2,,,525.68,439.23
1993-05-14,,2.6,,308.0,,308.0,,,50.2,,,526.37,439.56
1993-05-17,,2.6,,308.0,,308.0,,,50.2,,,527.47,440.37
1993-05-18,,2.6,,308.0,,308.0,,,50.2,,,527.49,440.32
1993-05-19,,2.6,,308.0,,308.0,,,50.2,,,536.2,447.57
1993-05-20,,2.6,,308.0,,308.0,,,50.2,,,539.84,450.59
1993-05-21,,2.6,,308.0,,308.0,,,50.2,,,534.16,445.84
1993-05-24,,2.6,,308.0,,308.0,,,50.2,,,536.87,448.0
1993-05-25,,2.6,,308.0,,308.0,,,50.2,,,538.02,448.85
1993-05-26,,2.6,,308.0,,308.0,,,50.2,,,543.54,453.44
1993-05-27,,2.6,,308.0,,308.0,,,50.2,,,542.32,452.41
1993-05-28,,2.6,,308.0,,308.0,,,50.2,,,539.76,450.19
1993-05-31,,0.9,,266.0,,266.0,,,51.2,,,539.76,450.19
1993-06-01,,0.9,,266.0,,266.0,,,51.2,,,544.2,453.83
1993-06-02,,0.9,,266.0,,266.0,,,51.2,,,544.41,453.85
1993-06-03,,0.9,,266.0,,266.0,,,51.2,,,542.82,452.49
1993-06-04,,0.9,,266.0,,266.0,,,51.2,,,539.93,450.06
1993-06-07,,0.9,,266.0,,266.0,,,51.2,,,537.15,447.69
1993-06-08,,0.9,,266.0,,266.0,,,51.2,,,533.61,444.71
1993-06-09,,0.9,,266.0,,266.0,,,51.2,,,535.11,445.78
1993-06-10,,0.9,,266.0,,266.0,,,51.2,,,534.65,445.38
1993-06-11,,0.9,,266.0,,266.0,,,51.2,,,536.92,447.26
1993-06-14,,0.9,,266.0,,266.0,,,51.2,,,537.49,447.71
1993-06-15,,0.9,,266.0,,266.0,,,51.2,,,535.79,446.27
1993-06-16,,0.9,,266.0,,266.0,,,51.2,,,537.2,447.43
1993-06-17,,0.9,,266.0,,266.0,,,51.2,,,538.55,448.54
1993-06-18,,0.9,,266.0,,266.0,,,51.2,,,532.72,443.68
1993-06-21,,0.9,,266.0,,266.0,,,51.2,,,535.78,446.22
1993-06-22,,0.9,,266.0,,266.0,,,51.2,,,535.43,445.93
1993-06-23,,0.9,,266.0,,266.0,,,51.2,,,532.14,443.19
1993-06-24,,0.9,,266.0,,266.0,,,51.2,,,536.51,446.62
1993-06-25,,0.9,,266.0,,266.0,,,51.2,,,537.7,447.6
1993-06-28,,0.9,,266.0,,266.0,,,51.2,,,542.9,451.85
1993-06-29,,0.9,,266.0,,266.0,,,51.2,,,541.53,450.69
